,LapTime,AvgCornerSpeed,Acceleration,LapNumber,Stint,Compound,TyreLife,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,AvgCurvature,race,racemean
0,96.753,45.62328211472902,2.4061293557445556,3.0,1.0,SOFT,6.0,18.3,49.0,1017.1,23.8,89.0,1.5,0.0,0.007149322233826924,Bahrain Grand Prix,96.90864641434263
1,96.647,46.293736535442164,1.9379786341744396,4.0,1.0,SOFT,7.0,18.3,49.0,1017.0,23.7,24.0,0.9,0.0,0.007153942298325864,Bahrain Grand Prix,96.90864641434263
2,97.173,44.83260807343295,1.9238877422595575,5.0,1.0,SOFT,8.0,18.3,50.0,1017.1,23.5,40.0,1.5,0.0,0.007082169799769028,Bahrain Grand Prix,96.90864641434263
3,97.092,46.26477792558774,2.016879668362618,6.0,1.0,SOFT,9.0,18.3,50.0,1017.1,23.5,236.0,1.1,0.0,0.0075508934295222,Bahrain Grand Prix,96.90864641434263
4,97.038,43.89834750814236,2.457418297152378,7.0,1.0,SOFT,10.0,18.3,50.0,1017.1,23.5,13.0,0.5,0.0,0.007541586204977393,Bahrain Grand Prix,96.90864641434263
5,97.024,44.85823036786169,2.2568852523497145,8.0,1.0,SOFT,11.0,18.2,50.0,1017.2,23.7,126.0,1.1,0.0,0.007112093106134815,Bahrain Grand Prix,96.90864641434263
6,97.229,44.68451467505051,2.229420467704492,9.0,1.0,SOFT,12.0,18.2,50.0,1017.2,23.5,98.0,0.4,0.0,0.007357141351351122,Bahrain Grand Prix,96.90864641434263
7,96.96,44.51612799361446,2.1441243887931707,10.0,1.0,SOFT,13.0,18.2,50.0,1017.2,23.5,330.0,0.5,0.0,0.007547885407674142,Bahrain Grand Prix,96.90864641434263
8,97.085,44.4437414971169,2.54233085918651,11.0,1.0,SOFT,14.0,18.2,50.0,1017.2,23.5,330.0,0.5,0.0,0.007610578536180987,Bahrain Grand Prix,96.90864641434263
9,97.045,44.260904569167,2.458978159703786,12.0,1.0,SOFT,15.0,18.2,50.0,1017.2,23.5,157.0,0.5,0.0,0.007270066177386805,Bahrain Grand Prix,96.90864641434263
10,97.03,44.22453443363347,2.3282960385490523,13.0,1.0,SOFT,16.0,18.3,50.0,1017.2,23.5,42.0,0.4,0.0,0.007650816532676713,Bahrain Grand Prix,96.90864641434263
11,97.028,45.64438545263816,2.2890725577559627,14.0,1.0,SOFT,17.0,18.2,50.0,1017.1,23.4,123.0,1.0,0.0,0.0074856782521048005,Bahrain Grand Prix,96.90864641434263
12,97.011,45.92184098029863,2.4301750863101854,15.0,1.0,SOFT,18.0,18.1,50.0,1017.1,23.5,0.0,0.4,0.0,0.007198880786968872,Bahrain Grand Prix,96.90864641434263
13,97.168,45.17350201847453,2.246910928730635,16.0,1.0,SOFT,19.0,18.1,50.0,1017.2,23.2,236.0,0.4,0.0,0.00778155959316555,Bahrain Grand Prix,96.90864641434263
14,95.283,43.96318022749052,2.02544976239551,19.0,2.0,HARD,2.0,18.1,50.0,1017.1,23.3,71.0,0.5,0.0,0.007759120373470843,Bahrain Grand Prix,96.90864641434263
15,95.16,44.90299147996067,2.223972163871555,20.0,2.0,HARD,3.0,18.1,50.0,1017.1,23.3,47.0,0.6,0.0,0.007195645682818011,Bahrain Grand Prix,96.90864641434263
16,95.316,44.92695042286331,2.534303414218581,21.0,2.0,HARD,4.0,18.1,50.0,1017.2,23.1,65.0,0.5,0.0,0.008001924493387626,Bahrain Grand Prix,96.90864641434263
17,95.204,44.62427320877035,2.0087952751162175,22.0,2.0,HARD,5.0,18.1,50.0,1017.2,23.2,37.0,0.5,0.0,9297.120843203604,Bahrain Grand Prix,96.90864641434263
18,95.216,46.14711998526287,2.0420874310592296,23.0,2.0,HARD,6.0,18.1,50.0,1017.1,23.2,71.0,0.9,0.0,0.007120780160711867,Bahrain Grand Prix,96.90864641434263
19,95.289,44.962516822823645,2.1607898009475086,24.0,2.0,HARD,7.0,18.1,50.0,1017.2,23.0,25.0,0.3,0.0,0.007753817558897686,Bahrain Grand Prix,96.90864641434263
20,95.342,45.28247237104933,2.387523531595582,25.0,2.0,HARD,8.0,18.1,49.0,1017.2,23.0,46.0,0.9,0.0,0.007342325707742857,Bahrain Grand Prix,96.90864641434263
21,95.223,46.01659300528978,2.2630260996180938,26.0,2.0,HARD,9.0,18.1,49.0,1017.2,22.9,46.0,0.7,0.0,0.006959612553362505,Bahrain Grand Prix,96.90864641434263
22,95.581,45.026049376024375,2.2668104509344063,27.0,2.0,HARD,10.0,18.1,49.0,1017.2,22.9,29.0,0.0,0.0,0.006981486771035225,Bahrain Grand Prix,96.90864641434263
