,LapTime,AvgCornerSpeed,Acceleration,LapNumber,Stint,Compound,TyreLife,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,AvgCurvature,race,racemean
4582,88.724,41.763985174654486,1.7901303859513433,35.0,3.0,SOFT,5.0,36.7,7.0,995.7,49.1,165.0,3.2,0.0,0.0084418655570302,Spanish Grand Prix,88.87785055350554
4583,88.221,42.222830749175465,1.6440520667004053,36.0,3.0,SOFT,6.0,36.6,7.0,995.7,49.0,151.0,3.0,0.0,0.008736884487539192,Spanish Grand Prix,88.87785055350554
4584,87.683,42.3491672479102,2.001572961278635,37.0,3.0,SOFT,7.0,36.6,7.0,995.7,49.0,173.0,2.7,0.0,0.00922147457373997,Spanish Grand Prix,88.87785055350554
4585,88.069,42.343129684809696,1.5636804858021753,38.0,3.0,SOFT,8.0,36.9,7.0,995.5,49.1,193.0,3.7,0.0,0.008542009781737936,Spanish Grand Prix,88.87785055350554
4586,87.116,41.51395180404559,1.6908460368387839,39.0,3.0,SOFT,9.0,36.7,7.0,995.7,49.1,155.0,3.7,0.0,0.008512519756046465,Spanish Grand Prix,88.87785055350554
4587,87.28,41.2725561725933,1.2744093151722875,40.0,3.0,SOFT,10.0,36.8,8.0,995.5,49.1,154.0,2.0,0.0,101.25011426931569,Spanish Grand Prix,88.87785055350554
4588,87.573,41.8811637743554,1.988594768665072,41.0,3.0,SOFT,11.0,36.6,8.0,995.7,49.0,175.0,3.5,0.0,0.008872049558201048,Spanish Grand Prix,88.87785055350554
4589,87.813,43.28778758277033,2.102002814512974,42.0,3.0,SOFT,12.0,36.6,7.0,995.7,49.0,172.0,3.7,0.0,0.008489248053800934,Spanish Grand Prix,88.87785055350554
4590,87.975,41.869767392389605,2.158644347692512,43.0,3.0,SOFT,13.0,36.6,8.0,995.5,48.7,192.0,2.5,0.0,0.008056852946726081,Spanish Grand Prix,88.87785055350554
4591,87.777,43.03861792503738,1.8207380065263443,44.0,3.0,SOFT,14.0,36.6,8.0,995.5,48.9,175.0,3.2,0.0,0.008518946857182776,Spanish Grand Prix,88.87785055350554
4592,87.858,42.798735761943135,1.4751081213090438,45.0,3.0,SOFT,15.0,36.7,8.0,995.5,49.1,168.0,3.0,0.0,0.008620213050364409,Spanish Grand Prix,88.87785055350554
4593,88.437,43.818663026301714,1.67385179819093,46.0,3.0,SOFT,16.0,36.8,8.0,995.5,49.1,170.0,3.0,0.0,0.008697260688686126,Spanish Grand Prix,88.87785055350554
4594,88.114,43.201043710387985,2.0154394569327874,47.0,3.0,SOFT,17.0,36.8,7.0,995.5,49.0,147.0,2.7,0.0,0.00860941764324484,Spanish Grand Prix,88.87785055350554
4595,88.617,43.424699425241265,2.2166876269193274,48.0,3.0,SOFT,18.0,36.6,7.0,995.5,49.0,185.0,2.0,0.0,0.008900214897707332,Spanish Grand Prix,88.87785055350554
4596,89.543,42.676227675809685,1.6914354750988576,49.0,3.0,SOFT,19.0,36.5,8.0,995.5,49.0,155.0,1.3,0.0,0.008730764962969692,Spanish Grand Prix,88.87785055350554
4597,88.469,42.8346617794705,2.1130551135498554,50.0,3.0,SOFT,20.0,36.8,8.0,995.5,48.8,152.0,2.2,0.0,0.008252132758541732,Spanish Grand Prix,88.87785055350554
4598,85.619,42.46489242555985,1.579213579289287,53.0,4.0,SOFT,5.0,36.7,7.0,995.4,48.8,168.0,2.7,0.0,0.008434112072655531,Spanish Grand Prix,88.87785055350554
4599,85.859,42.869283268619085,2.0422425929951062,54.0,4.0,SOFT,6.0,36.6,8.0,995.4,48.5,137.0,2.0,0.0,0.008502366843997217,Spanish Grand Prix,88.87785055350554
4600,85.87,42.69805199318418,1.6415390725893546,55.0,4.0,SOFT,7.0,36.5,9.0,995.4,48.3,109.0,2.5,0.0,0.008177003801800631,Spanish Grand Prix,88.87785055350554
4601,86.164,42.97458980586889,1.8197713134156022,56.0,4.0,SOFT,8.0,36.5,9.0,995.4,48.3,176.0,2.2,0.0,0.008725728037527577,Spanish Grand Prix,88.87785055350554
4602,85.906,41.677071666201655,1.6068205728858966,57.0,4.0,SOFT,9.0,36.3,8.0,995.5,48.4,191.0,3.5,0.0,0.00854955161977435,Spanish Grand Prix,88.87785055350554
4603,86.746,42.442941423545776,1.7689255100650412,58.0,4.0,SOFT,10.0,36.3,7.0,995.4,48.4,194.0,5.5,0.0,0.008605765884503961,Spanish Grand Prix,88.87785055350554
4604,87.704,42.19578232691311,1.6354695891548376,59.0,4.0,SOFT,11.0,36.3,8.0,995.2,48.3,187.0,4.5,0.0,0.00998236839737929,Spanish Grand Prix,88.87785055350554
4605,87.663,43.19940132422259,1.6154127356517523,60.0,4.0,SOFT,12.0,36.4,9.0,995.2,48.2,162.0,2.7,0.0,4729.213338428532,Spanish Grand Prix,88.87785055350554
